elasticity,lambda,seed,PPO_revenue,PPO_wait_steps,PPO_sessions,PPO_co2,PPO_score,ToU_revenue,ToU_wait_steps,ToU_sessions,ToU_co2,ToU_score,ToU3_revenue,ToU3_wait_steps,ToU3_sessions,ToU3_co2,ToU3_score,Flat_revenue,Flat_wait_steps,Flat_sessions,Flat_co2,Flat_score,Congestion_revenue,Congestion_wait_steps,Congestion_sessions,Congestion_co2,Congestion_score,margin_vs_ToU,margin_vs_ToU3,margin_vs_Flat
0.9,1.5915705147015682,0,389.4399666666667,12.576666666666666,40.86,63802.404966666676,369.42331482676997,302.08889999999997,3.3866666666666667,32.50666666666667,50978.9652,296.69878119021064,384.8421,46.42,49.08,76756.83093333333,310.9613967075532,385.05806666666666,50.053333333333335,49.16,77011.6367,305.3946571708042,376.48560000000003,8.57,39.38333333333333,61552.72263333333,362.8458406890076,72.72453363655933,58.46191811921676,64.02865765596579
0.9,1.5915705147015682,1,389.9359666666667,13.11,41.053333333333335,64124.77943333333,369.0704772189291,302.08889999999997,3.3866666666666667,32.50666666666667,50978.9652,296.69878119021064,384.8421,46.42,49.08,76756.83093333333,310.9613967075532,385.05806666666666,50.053333333333335,49.16,77011.6367,305.3946571708042,376.48560000000003,8.57,39.38333333333333,61552.72263333333,362.8458406890076,72.37169602871847,58.10908051137591,63.67582004812493
0.9,1.5915705147015682,2,391.3953333333333,16.526666666666667,41.67,64922.55896666666,365.0919779603654,302.08889999999997,3.3866666666666667,32.50666666666667,50978.9652,296.69878119021064,384.8421,46.42,49.08,76756.83093333333,310.9613967075532,385.05806666666666,50.053333333333335,49.16,77011.6367,305.3946571708042,376.48560000000003,8.57,39.38333333333333,61552.72263333333,362.8458406890076,68.39319677015476,54.13058125281219,59.69732078956122
0.9,1.5915705147015682,3,386.19266666666664,11.09,40.21333333333333,62796.90276666666,368.5421496586263,302.08889999999997,3.3866666666666667,32.50666666666667,50978.9652,296.69878119021064,384.8421,46.42,49.08,76756.83093333333,310.9613967075532,385.05806666666666,50.053333333333335,49.16,77011.6367,305.3946571708042,376.48560000000003,8.57,39.38333333333333,61552.72263333333,362.8458406890076,71.84336846841563,57.580752951073066,63.14749248782209
0.9,1.5915705147015682,4,378.3185,9.51,39.04666666666667,60908.467833333336,363.18266440518806,302.08889999999997,3.3866666666666667,32.50666666666667,50978.9652,296.69878119021064,384.8421,46.42,49.08,76756.83093333333,310.9613967075532,385.05806666666666,50.053333333333335,49.16,77011.6367,305.3946571708042,376.48560000000003,8.57,39.38333333333333,61552.72263333333,362.8458406890076,66.48388321497742,52.22126769763486,57.78800723438388
1.0,2.2018127752044374,0,378.31693333333334,9.82,39.85333333333333,62230.71270000001,356.6951318808258,280.5305333333333,2.1766666666666667,30.676666666666666,48104.50519999999,275.737920859305,384.7943,46.42,49.07333333333333,76750.45936666666,282.58615097501,385.05806666666666,50.053333333333335,49.16,77011.6367,274.8499978917672,365.8041666666667,6.656666666666666,38.586666666666666,60340.19963333334,351.1474329597225,80.95721102152078,74.10898090581577,81.84513398905858
1.0,2.2018127752044374,1,379.0319333333333,9.81,39.97666666666667,62447.08639999999,357.43215000857776,280.5305333333333,2.1766666666666667,30.676666666666666,48104.50519999999,275.737920859305,384.7943,46.42,49.07333333333333,76750.45936666666,282.58615097501,385.05806666666666,50.053333333333335,49.16,77011.6367,274.8499978917672,365.8041666666667,6.656666666666666,38.586666666666666,60340.19963333334,351.1474329597225,81.69422914927276,74.84599903356775,82.58215211681056
1.0,2.2018127752044374,2,370.98580000000004,8.573333333333334,39.19,61134.15663333334,352.10892514058065,280.5305333333333,2.1766666666666667,30.676666666666666,48104.50519999999,275.737920859305,384.7943,46.42,49.07333333333333,76750.45936666666,282.58615097501,385.05806666666666,50.053333333333335,49.16,77011.6367,274.8499978917672,365.8041666666667,6.656666666666666,38.586666666666666,60340.19963333334,351.1474329597225,76.37100428127565,69.52277416557064,77.25892724881345
1.0,2.2018127752044374,3,379.10766666666666,10.566666666666666,40.17666666666667,62746.81796666667,355.8418450086731,280.5305333333333,2.1766666666666667,30.676666666666666,48104.50519999999,275.737920859305,384.7943,46.42,49.07333333333333,76750.45936666666,282.58615097501,385.05806666666666,50.053333333333335,49.16,77011.6367,274.8499978917672,365.8041666666667,6.656666666666666,38.586666666666666,60340.19963333334,351.1474329597225,80.10392414936808,73.25569403366308,80.99184711690589
1.0,2.2018127752044374,4,376.8954,9.69,39.78333333333333,62200.684466666666,355.559834208269,280.5305333333333,2.1766666666666667,30.676666666666666,48104.50519999999,275.737920859305,384.7943,46.42,49.07333333333333,76750.45936666666,282.58615097501,385.05806666666666,50.053333333333335,49.16,77011.6367,274.8499978917672,365.8041666666667,6.656666666666666,38.586666666666666,60340.19963333334,351.1474329597225,79.82191334896402,72.97368323325901,80.70983631650182
